group_id,first_cross,final_margin_baseline,final_score_baseline,final_margin_nudged,final_score_nudged,delta_final_margin,averted
aaf86ed100bb1316e81bf5c044791568,0.0,-0.07910041891585806,5,-0.3302914079680912,3,-0.25119098905223314,True
3e3c7ad8b856e7925ddf4782653d9605,0.0,0.8879881721730072,5,0.7231406665519915,4,-0.1648475056210157,True
f6622c2a384040d7eb0256156afdc5e3,2.0,0.8101572907834124,5,0.6708241406445791,4,-0.1393331501388333,True
0c1279cff76e51cd73615f1a08bb3b9b,0.0,0.2650187530977706,5,0.2025150342875707,3,-0.06250371881019992,True
d94abcda70d02a023260ddce054a5ef5,1.0,2.37244053544239,5,2.3444505385398,5,-0.027989996902590075,False
824af8a8d0d270db0ff8ccb8dc5313c5,,-0.7325970258987196,5,-0.7325970258987196,2,0.0,True
e6ad04b1e3dbf44f9c5745a84bfd4379,0.0,0.9496306353091888,5,1.0054796956600613,4,0.05584906035087256,True
ab37cf69fa19accc17ec3202e6b6fd0d,0.0,0.6765331872065152,5,0.9274496278379123,4,0.25091644063139706,True
abadc22eebf7e2e790aee625f630a923,0.0,0.2501234171685751,5,0.6289631576787775,4,0.3788397405102024,True
03f87295eabacf378e41c532aa5f39c1,0.0,1.1963330813012187,5,1.8260305556806111,5,0.6296974743793924,False
